task_name,avg_code_length,min_code_length,max_code_length,total_implementations,task_url,languages
Echo Server,32,5,180,49,https://swam-dataset.org/tasks/echo_server,"Ada,Aime,Autohotkey,Bacon,Bbcbasic,C,C#,Clojure,Coffeescript,Commonlisp,D,Delphi,Elixir,Erlang,F#,Factor,Forth,Go,Haskell,Iconandunicon,Java,JavaScript,Julia,Kotlin,Lfe,Lua,Nim,Objeck,Ol,Oz,PHP,Perl,Phix,Picolisp,Purebasic,Python,Racket,Raku,Realbasic,Rebol,Ruby,Rust,Scala,Scheme,Seed7,Tcl,Wren,X86assembly,Zkl"
Eertree,64,14,113,22,https://swam-dataset.org/tasks/eertree,"11l,C#,C++,D,Go,Java,Julia,Kotlin,M2000interpreter,Nim,Objeck,Perl,Phix,Python,Racket,Raku,Rexx,Ring,Ruby,Visualbasic.net,Wren,Zkl"
Egyptian Division,30,3,128,52,https://swam-dataset.org/tasks/egyptian_division,"11l,Action!,Ada,Algol68,Applescript,Arturo,Autohotkey,Bacon,C,C#,C++,Commonlisp,D,Delphi,Erlang,F#,Factor,Forth,Freebasic,Go,Groovy,Haskell,J,Java,JavaScript,Julia,Kotlin,Lua,Modula-2,Nim,Perl,Phix,Picolisp,Prolog,Python,Quackery,R,Racket,Raku,Rexx,Ring,Ruby,Rust,Scala,Sidef,Swift,Tailspin,Vba,Visualbasic.net,Vlang,Wren,Zkl"
Egyptian Fractions,75,2,194,34,https://swam-dataset.org/tasks/egyptian_fractions,"Algol68,C,C#,C++,Commonlisp,D,Erlang,Factor,Freebasic,Frink,Fōrmulæ,Go,Haskell,J,Java,Julia,Kotlin,Microsoftsmallbasic,Nim,Perl,Phix,Prolog,Python,Racket,Raku,Rexx,Ruby,Rust,Scala,Sidef,Tcl,Visualbasic.net,Wren,Zkl"
Ekg Sequence Convergence,39,5,104,24,https://swam-dataset.org/tasks/ekg_sequence_convergence,"11l,Action!,Ada,C,F#,Factor,Go,Haskell,J,Java,Jq,Julia,Kotlin,Nim,Perl,Phix,Python,Raku,Rexx,Sidef,Wren,Xpl0,Zkl,{{header|vlang}"
Element Wise Operations,39,4,225,46,https://swam-dataset.org/tasks/element_wise_operations,"Ada,Algol68,Amazinghopper,Autohotkey,Bbcbasic,C,C#,C++,Clojure,Commonlisp,D,Excel,Factor,Fortran,Freebasic,Go,Groovy,Haskell,Iconandunicon,J,Java,Jq,Julia,K,Kotlin,MATLAB,Maple,Maxima,Nim,Perl,Phix,Picolisp,Python,R,Racket,Raku,Rexx,Ruby,Rust,Sidef,Standardml,Stata,Tcl,Vlang,Wren,Zkl"
Elementary Cellular Automaton,35,2,125,47,https://swam-dataset.org/tasks/elementary_cellular_automaton,"11l,Action!,Ada,Algol68,Autohotkey,C,C#,C++,Ceylon,Commonlisp,D,Echolisp,Elixir,F#,Factor,Freebasic,Furor,Fōrmulæ,Gfabasic,Go,Haskell,J,Java,JavaScript,Jq,Julia,Kotlin,Lua,MATLAB,Nim,Octave,Perl,Phix,Picolisp,Prolog,Python,Quackery,Racket,Raku,Ruby,Rust,Scala,Scheme,Sidef,Tcl,Wren,Zkl"
Elementary Cellular Automatoninfinite Length,24,3,56,21,https://swam-dataset.org/tasks/elementary_cellular_automatoninfinite_length,"11l,C++,D,Elixir,Go,Haskell,J,Jq,Julia,Kotlin,Nim,Perl,Phix,Python,Racket,Raku,Ruby,Sidef,Tcl,Wren,Zkl"
Elementary Cellular Automatonrandom Number Generator,24,1,117,24,https://swam-dataset.org/tasks/elementary_cellular_automatonrandom_number_generator,"11l,C,C++,D,F#,Go,Haskell,J,Julia,Kotlin,Nim,Pascal,Perl,Phix,Python,Racket,Raku,Ruby,Rust,Scheme,Sidef,Tcl,Wren,Zkl"
Elliptic Curve Arithmetic,57,3,146,26,https://swam-dataset.org/tasks/elliptic_curve_arithmetic,"11l,C,C++,D,Echolisp,Go,Haskell,J,Java,Julia,Kotlin,Nim,OCaml,Perl,Phix,Picolisp,Python,Racket,Raku,Rexx,Sage,Sidef,Tcl,Vlang,Wren,Zkl"
Elliptic Curve Digital Signature Algorithm,164,13,269,10,https://swam-dataset.org/tasks/elliptic_curve_digital_signature_algorithm,"C,Freebasic,Go,Julia,Nim,Perl,Phix,Python,Raku,Wren"
Emirp Primes,43,1,227,60,https://swam-dataset.org/tasks/emirp_primes,"11l,Ada,Algol68,Arturo,Autohotkey,Awk,C,C#,C++,Clojure,Commonlisp,D,Delphi,Elixir,F#,Factor,Forth,Fortran,Freebasic,Frink,Go,Groovy,Haskell,J,Java,JavaScript,Jq,Julia,Kotlin,Lua,MATLAB,Maple,Modula-2,Nim,Oforth,PHP,Pascal,Perl,Phix,Picolisp,Python,Quackery,R,Racket,Raku,Rexx,Ring,Ruby,Rust,Scala,Scheme,Sidef,Smalltalk,Stata,Swift,Tcl,Vba,Visualbasic.net,Wren,Zkl"
Empty Directory,9,1,39,75,https://swam-dataset.org/tasks/empty_directory,"11l,8086assembly,Ada,Algol68,Arturo,Autohotkey,Awk,Bacon,Batchfile,Bbcbasic,C,C#,C++,Clojure,Coffeescript,Commonlisp,D,Delphi,Elixir,Erlang,F#,Factor,Freebasic,Gambas,Go,Groovy,Haskell,Iconandunicon,J,Java,JavaScript,Julia,Kotlin,Lasso,Libertybasic,Lingo,Lua,Maple,Min,Ms-dos,Nanoquery,Nemerle,Newlisp,Nim,OCaml,Objeck,Oorexx,PHP,Pascal,Perl,Phix,Picolisp,Powershell,Prolog,Purebasic,Python,R,Racket,Raku,Rexx,Ring,Ruby,Runbasic,Rust,Scala,Seed7,Sensetalk,Sidef,Standardml,Tcl,Unixshell,Vba,Vbscript,Wren,Zkl"
Empty Program,2,1,9,160,https://swam-dataset.org/tasks/empty_program,"11l,360assembly,6502assembly,68000assembly,8051assembly,8086assembly,Aarch64assembly,Abap,Ada,Algol60,Algol68,Algolw,Amigae,Applescript,Armassembly,Arnoldc,Autoit,Avail,Awk,Axe,Befunge,Bqn,Bracmat,Brainf***,Brlcad,C,C#,C++,Clean,Clojure,Clu,Commonlisp,Componentpascal,D,Dart,Dc,Dcl,Delphi,Dyalect,Edsacordercode,Egl,Eiffel,Elena,Elm,Erlang,Erre,Esql,Falcon,Fantom,Fbsl,Fermat,Fortran,Futhark,Futurebasic,Fōrmulæ,Gambas,Globalscript,Go,Haskell,Haxe,Hicest,Holyc,Hq9plus,Html,Huginn,I,Iconandunicon,Idl,Inform7,Intercal,J,Java,Joy,Jq,Konsolscript,Kotlin,Lang5,Lasso,Latex,Lc3assembly,Libertybasic,Lilypond,Lse64,M2000interpreter,MATLAB,Maxima,Metafont,Mipsassembly,Mmix,Modula-2,Modula-3,Nemerle,Netrexx,Newlisp,OCaml,Objeck,Objective-c,Octave,Oforth,Ol,Openlisp,Oz,PHP,Pascal,Pepsiscript,Phix,Picat,Picolisp,Pike,Pir,Plainenglish,Plaintex,Pony,Pop11,Powershell,Prodos,Psql,Python,Quackasm,Raven,Rebol,Rhope,Runbasic,Rust,Scala,Seed7,Simula,Smalltalk,Snobol4,Snusp,Sqlpl,Ssem,Standardml,Stata,Suneido,Ti-83hexassembly,Ti-89basic,Toka,Truebasic,Tuscript,Unlambda,Vala,Vaxassembly,Vba,Vbscript,Verilog,Vhdl,Vimscript,Visualbasic,Visualbasic.net,Wdte,Webassembly,X86assembly,Xquery,Xslt,Xtalk,Xul,Z80assembly,Zig,Zoea"
Empty String,8,1,63,163,https://swam-dataset.org/tasks/empty_string,"11l,6502assembly,68000assembly,8th,Aarch64assembly,Acl2,Action!,Ada,Aime,Algol68,Apex,Apl,Applescript,Armassembly,Arturo,Asymptote,Autohotkey,Avail,Awk,Axe,Basic,Batchfile,Bbcbasic,Bqn,Bracmat,Burlesque,C,C#,C++,Cachéobjectscript,Clojure,Cobol,Coffeescript,Commonlisp,Componentpascal,D,Dart,Delphi,Dwscript,Dyalect,Déjàvu,Easylang,Elena,Elixir,Emacslisp,Erlang,Euphoria,F#,Factor,Fantom,Forth,Fortran,Freebasic,Freepascal,Frink,Futurebasic,Gambas,Go,Groovy,Gw-basic,Harbour,Haskell,Holyc,I,Iconandunicon,J,Java,JavaScript,Jq,Jsish,Julia,K,Kotlin,Labview,Lambdatalk,Langur,Lasso,Latitude,Lfe,Lhogho,Libertybasic,Lingo,Lolcode,Lua,M2000interpreter,Maple,Maxima,Mercury,Min,Mirah,Nanoquery,Nemerle,Nesl,Netrexx,Nim,Ns-hubasic,Nyquist,OCaml,Oberon-2,Objeck,Oforth,Ol,Oorexx,PHP,Pascal,Perl,Phix,Picat,Picolisp,Pike,Plainenglish,Powershell,Prolog,Purebasic,Python,Qb64,Quackery,Quitebasic,R,Racket,Raku,Rascal,Red,Retro,Rexx,Ring,Robotic,Ruby,Runbasic,Rust,Scala,Scheme,Seed7,Self,Sensetalk,Sidef,Smalltalk,Snobol4,Standardml,Stata,Swift,Tcl,Torquescript,Tuscript,Txr,Unixshell,Ursa,Vaxassembly,Vba,Vbscript,Visualbasic,Visualbasic.net,Vlang,Weebasic,Wren,X86-64assembly,Xlisp,Xpl0,Z80assembly,Zig,Zkl,Zoomscript,Zxspectrumbasic"
Enforced Immutability,5,1,32,69,https://swam-dataset.org/tasks/enforced_immutability,"11l,6502assembly,68000assembly,8th,Acl2,Ada,Algol68,Autohotkey,Basic,Bbcbasic,Bracmat,C#,C++,Clojure,Cobol,D,Delphi,Dyalect,E,Ela,Elixir,Erlang,Euphoria,F#,Factor,Forth,Fortran,Freebasic,Go,Haskell,Iconandunicon,J,Java,JavaScript,Jq,Julia,Kotlin,Logtalk,Lua,Mbs,Nemerle,Nim,OCaml,Oforth,PHP,Pascal,Perl,Phix,Picolisp,Powerbasic,Python,Racket,Raku,Rexx,Ring,Ruby,Rust,Scala,Scheme,Seed7,Sidef,Supercollider,Swift,Tcl,Unixshell,Wren,Xpl0,Z80assembly,Zkl"
Entropy,20,1,82,91,https://swam-dataset.org/tasks/entropy,"11l,Ada,Aime,Algol68,Algolw,Apl,Arturo,Autohotkey,Awk,Basic,Bbcbasic,Bqn,Burlesque,C,C#,C++,Clojure,Clu,Coffeescript,Commonlisp,Crystal,D,Delphi,Echolisp,Elena,Elixir,Emacslisp,Erlang,Eulermathtoolbox,F#,Factor,Forth,Fortran,Freebasic,Friendlyinteractiveshell,Fōrmulæ,Go,Groovy,Haskell,Iconandunicon,J,Java,JavaScript,Jq,Jsish,Julia,Kotlin,Lambdatalk,Lang5,Libertybasic,Lua,Miniscript,Modula-2,Netrexx,Nim,OCaml,Objeck,Oforth,Oorexx,PHP,Pascal,Perl,Phix,Picat,Picolisp,Powershell,Prolog,Purebasic,Python,R,Racket,Raku,Rexx,Ring,Ruby,Runbasic,Rust,Scala,Scheme,Scilab,Seed7,Sidef,Standardml,Swift,Tcl,Vlang,Wren,Xpl0,Zig,Zkl,Zxspectrumbasic"
Entropynarcissist,18,2,57,37,https://swam-dataset.org/tasks/entropynarcissist,"Ada,Algol68,Autohotkey,Awk,C,C++,Crystal,D,Elixir,Emacslisp,Erlang,Factor,Freebasic,Go,Haskell,J,Java,Julia,Kotlin,Lua,Nim,PHP,Perl,Phix,Picat,Picolisp,Python,Racket,Raku,Rexx,Ruby,Rust,Sidef,Tcl,Vlang,Wren,Zkl"
Enumerations,8,1,53,99,https://swam-dataset.org/tasks/enumerations,"11l,6502assembly,68000assembly,8086assembly,Acl2,Ada,Algol68,Amigae,Arturo,Ats,Autohotkey,Awk,Basic,Bracmat,C,C#,C++,Clojure,Commonlisp,D,Delphi,Dwscript,E,Egl,Elixir,Erlang,F#,Factor,Fantom,Forth,Fortran,Freebasic,Freepascal,Futurebasic,Go,Groovy,Haskell,Huginn,Iconandunicon,Inform7,J,Java,JavaScript,Jq,Jscript.net,Json,Julia,Kotlin,Lingo,Lua,M2000interpreter,M4,Metafont,Modula-3,Nemerle,Nim,OCaml,Objeck,Objective-c,Oforth,Ol,Oxygenbasic,Oz,PHP,Pascal,Perl,Phix,Picat,Picolisp,Powershell,Prolog,Purebasic,Python,R,Racket,Raku,Raven,Retro,Rexx,Ring,Ruby,Rust,Scala,Scheme,Seed7,Shen,Sidef,Slate,Standardml,Swift,Tcl,Toka,Vba,Visualbasic.net,Wren,Xpl0,Z80assembly,Zkl,Zonnon"
Environment Variables,4,1,55,114,https://swam-dataset.org/tasks/environment_variables,"11l,Ada,Algol68,Apl,Applescript,Arturo,Autohotkey,Autoit,Awk,Basic,Batchfile,Bbcbasic,C,C#,C++,Clojure,Cobol,Coffeescript,Commonlisp,D,E,Eiffel,Elixir,Emacslisp,Erlang,Euphoria,F#,Factor,Forth,Fortran,Freebasic,Frink,Funl,Go,Gri,Groovy,Haskell,Hexiscript,Hicest,I,Iconandunicon,J,Java,JavaScript,Joy,Jq,Jsish,Julia,K,Kotlin,Langur,Lasso,Libertybasic,Lil,Lingo,Logtalk,Lsl,Lua,M2000interpreter,Make,Maple,Mercury,Min,Modula-3,Mumps,Netrexx,Newlisp,Nim,Nsis,OCaml,Objective-c,Oforth,Oz,PHP,Perl,Phix,Picolisp,Pike,Powershell,Prolog,Purebasic,Python,R,Racket,Raku,Rebol,Retro,Rexx,Ring,Ruby,Runbasic,Rust,Scala,Seed7,Sidef,Slate,Smalltalk,Snobol4,Standardml,Stata,Swift,Tcl,Truebasic,Txr,Unixshell,Ursa,Ursala,Veditmacrolanguage,Visualbasic,Vlang,Wren,Xpl0,Yabasic,Zkl"
Equal Prime And Composite Sums,27,3,52,13,https://swam-dataset.org/tasks/equal_prime_and_composite_sums,"C++,F#,Freebasic,Go,J,Jq,Julia,Perl,Phix,Raku,Sidef,Wren,Xpl0"
Equilibrium Index,19,1,156,76,https://swam-dataset.org/tasks/equilibrium_index,"11l,Abap,Action!,Ada,Aime,Algol68,Applescript,Arturo,Autohotkey,Awk,Batchfile,Bbcbasic,C,C#,C++,Clojure,Commonlisp,D,Delphi,Elena,Elixir,Erre,Euphoria,Factor,Fortran,Freebasic,Fōrmulæ,Go,Haskell,Iconandunicon,J,Java,JavaScript,Jq,Julia,K,Kotlin,Libertybasic,Logo,Lua,MATLAB,Netrexx,Nim,OCaml,Objeck,Oforth,PHP,Pascal,Perl,Phix,Picat,Picolisp,Powershell,Prolog,Purebasic,Python,Racket,Raku,Red,Rescript,Rexx,Ring,Ruby,Rust,Scala,Seed7,Sidef,Swift,Tcl,Ursala,Vbscript,Wren,Xpl0,Yorick,Zkl,Zxspectrumbasic"
Erdös Selfridge Categorization Of Primes,44,4,89,12,https://swam-dataset.org/tasks/erdös_selfridge_categorization_of_primes,"C++,F#,Factor,Go,Java,Julia,Perl,Phix,Raku,Rust,Sidef,Wren"
Esthetic Numbers,67,3,174,33,https://swam-dataset.org/tasks/esthetic_numbers,"11l,Algol68,Arturo,C,C++,D,F#,Factor,Forth,Freebasic,Go,Haskell,J,Java,JavaScript,Julia,Kotlin,Lua,Nim,Pascal,Perl,Phix,Picolisp,Prolog,Python,Raku,Rexx,Ring,Ruby,Rust,Sidef,Swift,Wren"
Ethiopian Multiplication,24,1,98,130,https://swam-dataset.org/tasks/ethiopian_multiplication,"11l,8080assembly,Acl2,Action!,Actionscript,Ada,Aime,Algol-m,Algol68,Algolw,Applescript,Arturo,Autohotkey,Autoit,Awk,Basic,Batchfile,Bcpl,Bqn,Bracmat,C,C#,C++,Clojure,Clu,Cobol,Coffeescript,Coldfusion,Commonlisp,D,Dc,Delphi,Draco,E,Easylang,Eiffel,Ela,Elixir,Emacslisp,Erlang,Erre,Euphoria,F#,Factor,False,Forth,Fortran,Fōrmulæ,Go,Haskell,Hicest,Iconandunicon,J,Java,JavaScript,Jq,Jsish,Julia,Kotlin,Lambdatalk,Limbo,Locomotivebasic,Logo,Lolcode,Lua,M2000interpreter,MATLAB,Metafont,Mmix,Modula-2,Modula-3,Nemerle,Netrexx,Nim,OCaml,Objeck,Objective-c,Objectpascal,Octave,Oforth,Ol,Oorexx,Oz,PHP,Pascal,Perl,Phix,Picat,Picolisp,Pike,Plainenglish,Powerbuilder,Powershell,Prolog,Python,Quackery,R,Racket,Raku,Rascal,Red,Relation,Rexx,Ring,Ruby,Rust,S-basic,Scala,Scheme,Seed7,Sidef,Smalltalk,Snobol4,Snusp,Soar,Swift,Tcl,Tuscript,TypeScript,Unixshell,Ursala,Vba,Vbscript,Vlang,Wren,X86assembly,Xpl0,Z80assembly,Zkl,Zxspectrumbasic"
Euler Method,21,3,62,66,https://swam-dataset.org/tasks/euler_method,"11l,Ada,Algol68,Algolw,Basic,C,C#,C++,Clay,Clojure,Cobol,Commonlisp,D,Delphi,Elixir,Erlang,Eulermathtoolbox,F#,Factor,Forth,Fortran,Futhark,Go,Groovy,Haskell,Iconandunicon,J,Java,JavaScript,Jq,Julia,Kotlin,Lambdatalk,Lua,Maple,Maxima,Nim,OCaml,Objeck,Oforth,Pascal,Perl,Phix,Picolisp,Powershell,Purebasic,Python,R,Racket,Raku,Rexx,Ring,Ruby,Rust,Scala,Sequencel,Sidef,Smalltalk,Swift,Tcl,Vba,Vlang,Wren,Xpl0,Zkl,Zxspectrumbasic"
Eulers Constant 05772,30,1,110,18,https://swam-dataset.org/tasks/eulers_constant_05772,"Burlesque,C,Freebasic,Jq,Julia,Nim,Perl,Phix,Picat,Processing,Racket,Raku,Ruby,Rust,Scheme,Sidef,Vlang,Wren"
Eulers Identity,10,1,86,42,https://swam-dataset.org/tasks/eulers_identity,"11l,Ada,Algol68,Bracmat,C,C#,C++,Commonlisp,Delphi,F#,Factor,Forth,Fortran,Freebasic,Go,Groovy,Haskell,J,Java,Jq,Julia,Kotlin,Lambdatalk,Lua,Nim,OCaml,Perl,Phix,Prolog,Python,R,Racket,Raku,Rexx,Ruby,Rust,Scala,Scheme,Sidef,Tcl,Wren,Zkl"
Eulers Sum Of Powers Conjecture,30,3,175,74,https://swam-dataset.org/tasks/eulers_sum_of_powers_conjecture,"11l,360assembly,6502assembly,Ada,Algol68,Algolw,Arturo,Awk,Bcpl,Bracmat,C,C#,C++,Clojure,Cobol,Commonlisp,D,Delphi,Easylang,Echolisp,Elixir,Erre,F#,Factor,Forth,Fortran,Freebasic,Go,Groovy,Haskell,J,Java,JavaScript,Jq,Julia,Kotlin,Lua,Microsoftsmallbasic,Modula-2,Nim,Oforth,PHP,Pascal,Perl,Phix,Picat,Picolisp,Powershell,Prolog,Purebasic,Python,Qlsuperbasic,Racket,Raku,Rexx,Ring,Ruby,Runbasic,Rust,Scala,Seed7,Sensetalk,Sidef,Swift,Tcl,Unixshell,Vba,Vbscript,Visualbasic.net,Wren,Xpl0,Zig,Zkl,Zxspectrumbasic"
Evaluate Binomial Coefficients,11,1,55,107,https://swam-dataset.org/tasks/evaluate_binomial_coefficients,"11l,360assembly,Abap,Acl2,Ada,Algol68,Algolw,Apl,Applescript,Arturo,Autohotkey,Awk,Batchfile,Bbcbasic,Bcpl,Bracmat,Burlesque,C,C#,C++,Clojure,Coffeescript,Commodorebasic,Commonlisp,D,Dc,Delphi,Elixir,Erlang,Erre,F#,Factor,Fermat,Forth,Fortran,Freebasic,Frink,Funl,Gap,Go,Golfscript,Groovy,Gw-basic,Haskell,Hicest,Iconandunicon,Is-basic,J,Java,JavaScript,Jq,Julia,K,Kotlin,Lambdatalk,Lasso,Libertybasic,Logo,Lua,Maple,Maxima,Min,Minil,Nanoquery,Nim,OCaml,Oberon,Oforth,Oz,PHP,Pascal,Perl,Phix,Picat,Picolisp,Powershell,Purebasic,Python,Quackery,R,Racket,Raku,Rexx,Ring,Ruby,Runbasic,Rust,Scala,Scheme,Seed7,Sequencel,Sidef,Smalltalk,Stata,Swift,Tcl,Ti-83basic,Ti-89basic,Txr,Unixshell,Ursala,Vbscript,Wren,Xpl0,Zig,Zkl,Zxspectrumbasic"
Even Or Odd,9,1,67,196,https://swam-dataset.org/tasks/even_or_odd,"0815,11l,6502assembly,68000assembly,8080assembly,8086assembly,8th,Aarch64assembly,Abap,Action!,Ada,Agda,Aime,Algol-m,Algol68,Algolw,Antlang,Apl,Applescript,Arendelle,Armassembly,Arnoldc,Arturo,Asymptote,Autohotkey,Awk,Bacon,Basic,Batchfile,Bbcbasic,Bc,Beads,Befunge,Bqn,Bracmat,Brainf***,Burlesque,C,C#,C++,Clojure,Cobol,Coffeescript,Coldfusion,Commonlisp,Componentpascal,Crystal,D,Dcl,Delphi,Dwscript,Déjàvu,Edsacordercode,Eiffel,Elixir,Emacslisp,Erlang,Erre,Euphoria,Excel,F#,Factor,Fish,Forth,Fortran,Freebasic,Frink,Futhark,Fōrmulæ,Gambas,Gap,Genie,Go,Groovy,Haskell,Hoon,Iconandunicon,J,Java,JavaScript,Jq,Jsish,Julia,K,Klingphix,Kotlin,Labview,Lambdatalk,Lang5,Lasso,Lc3assembly,Libertybasic,Lingo,Littlemancomputer,Livecode,Llvm,Logo,Logtalk,Lolcode,Lplusplus,Lua,M2000interpreter,M4,Maple,Maxima,Maxscript,Mercury,Min,Miniscript,Mipsassembly,Ml,Modula-2,Nanoquery,Neko,Nesl,Netrexx,Never,Newlisp,Nim,OCaml,Oberon-2,Objeck,Oforth,Ol,Ooc,PHP,Pascal,Perl,Phix,Phixmonti,Picat,Picolisp,Pike,Plainenglish,Powershell,Processing,Prolog,Purebasic,Python,Quackery,R,Racket,Raku,Rascal,Red,Rescript,Rexx,Ring,Ruby,Runbasic,Rust,S-basic,Scala,Scheme,Seed7,Sensetalk,Sequencel,Setl,Shen,Sidef,Smalltalk,Snobol4,Snusp,Spl,Sql,Ssem,Standardml,Stata,Swift,Symsyn,Tcl,Ti-83basic,Tuscript,Unixshell,Ursa,Vba,Vbscript,Verilog,Visualbasic.net,Vlang,Wdte,Webassembly,Wren,X86-64assembly,Xbs,Xeec,Xlisp,Xojo,Xpl0,Yabasic,Z80assembly,Zkl,Zoea,Zoeavisual,Zonnon,Zxspectrumbasic"
Evolutionary Algorithm,48,5,164,98,https://swam-dataset.org/tasks/evolutionary_algorithm,"11l,8080assembly,8086assembly,8th,Ada,Aime,Algol68,Amstradcpclocomotivebasic,Apl,Autohotkey,Awk,Batchfile,Bbcbasic,C,C#,C++,Ceylon,Clojure,Clu,Cobol,Coldfusion,Commodorebasic,Commonlisp,D,Delphi,E,Echolisp,Elena,Elixir,Erlang,Euphoria,F#,Factor,Fantom,Forth,Fortran,Freebasic,Fōrmulæ,Go,Haskell,Iconandunicon,J,Java,JavaScript,Julia,Kotlin,Libertybasic,Logo,Lua,M2000interpreter,M4,MATLAB,Nanoquery,Nim,OCaml,Objeck,Octave,Oforth,Oorexx,Oxygenbasic,Oz,PHP,Pascal,Perl,Phix,Picat,Picolisp,Pike,Pony,Prolog,Purebasic,Python,R,Racket,Raku,Red,Rexx,Ring,Ruby,Rust,Scala,Scheme,Seed7,Sequencel,Sidef,Sinclairzx81basic,Smalltalk,Swift,Tailspin,Tcl,Ursala,Utfool,Vbscript,Visualbasic,Vlang,Wren,Xpl0,Zkl"
Exceptions,10,1,95,102,https://swam-dataset.org/tasks/exceptions,"11l,8086assembly,Ada,Aikido,Aime,Algol68,Applescript,Autohotkey,Bbcbasic,Blz,Bracmat,C,C#,C++,Clojure,Coldfusion,Commonlisp,D,Delphi,Dwscript,Dyalect,Déjàvu,E,Elena,Erlang,Factor,Fancy,Fantom,Forth,Freebasic,Gambas,Go,Haskell,Holyc,Iconandunicon,J,Java,JavaScript,Jq,Julia,Kotlin,Langur,Lasso,Lingo,Logo,Logtalk,Lua,M2000interpreter,MATLAB,Make,Maple,Modula-3,Moo,Nanoquery,Nemerle,Netrexx,Nim,OCaml,Objective-c,Oforth,Oz,PHP,Pascal,Perl,Phix,Phl,Picolisp,Pop11,Powershell,Prolog,Purebasic,Python,Quackery,R,Racket,Raku,Raven,Rexx,Ring,Ruby,Rust,Scala,Scheme,Seed7,Sidef,Slate,Smalltalk,Sqlpl,Standardml,Stata,Swift,Tcl,Transd,Txr,Ursa,Ursala,V,Vba,Visualbasic.net,Wren,Zig,Zkl"
Exceptionscatch An Exception Thrown In A Nested Call,24,6,96,69,https://swam-dataset.org/tasks/exceptionscatch_an_exception_thrown_in_a_nested_call,"11l,Ada,Aime,Algol68,Apl,Autohotkey,Bbcbasic,C,C#,C++,Clojure,Commonlisp,Crystal,D,Delphi,Dwscript,Dyalect,Echolisp,Egl,Eiffel,Elena,Elixir,Erlang,Factor,Fantom,Freebasic,Go,Haskell,Iconandunicon,Io,J,Java,JavaScript,Jq,Julia,Kotlin,Langur,Lasso,Lua,Maple,Nemerle,Nim,OCaml,Objective-c,Oforth,Oz,Pascal,Perl,Phix,Picolisp,Python,Quackery,R,Racket,Raku,Rexx,Ruby,Rust,Scala,Seed7,Sidef,Smalltalk,Swift,Tcl,Txr,Ursala,Visualbasic.net,Wren,Zkl"
Executable Library,21,2,45,31,https://swam-dataset.org/tasks/executable_library,"Ada,Autohotkey,Bbcbasic,C,Clojure,Déjàvu,Factor,Go,Io,J,Java,Julia,Limbo,Lua,Nanoquery,Netrexx,Nim,Perl,Phix,Picolisp,Pike,Python,Racket,Raku,Rexx,Ruby,Scala,Sidef,Tcl,Wren,Zkl"
Execute A Markov Algorithm,68,1,261,49,https://swam-dataset.org/tasks/execute_a_markov_algorithm,"11l,Ada,Apl,Autohotkey,Bbcbasic,Bracmat,C,C++,Clu,Commonlisp,Cowgol,D,Déjàvu,Echolisp,F#,Go,Groovy,Haskell,Iconandunicon,J,Java,JavaScript,Jq,Julia,Kotlin,Lua,Nim,OCaml,PHP,Perl,Phix,Picolisp,Prolog,Purebasic,Python,Racket,Raku,Rexx,Ruby,Rust,Scala,Scheme,Sequencel,Snobol4,Swift,Tcl,Vbscript,Wren,Zkl"
Execute A System Command,5,1,114,150,https://swam-dataset.org/tasks/execute_a_system_command,"11l,Abap,Ada,Aikido,Aime,Algol68,Amazinghopper,Apl,Applescript,Applesoftbasic,Arturo,Autohotkey,Autoit,Awk,Basic,Basic256,Batchfile,Bbcbasic,Befunge,Bqn,Bracmat,Brat,Brlcad,C,C#,C++,Clojure,Cmake,Cobol,Coffeescript,Commonlisp,D,Dbl,Dc,Dcl,Delphi,E,Emacslisp,Erlang,Erre,Euphoria,F#,Factor,Fantom,Forth,Fortran,Freebasic,Frink,Funl,Futurebasic,Gambas,Genie,Gnuplot,Go,Groovy,Guiss,Haskell,Hicest,Holyc,Iconandunicon,Idl,Io,Is-basic,J,Java,JavaScript,Joy,Julia,K,Kotlin,Lang5,Lasso,Lfe,Libertybasic,Limbo,Lingo,Locomotivebasic,Logo,Logtalk,Lua,M4,MATLAB,Make,Maple,Maxima,Maxscript,Mercury,Min,Modula-2,Modula-3,Mumps,Nanoquery,Netrexx,Newlisp,Nim,OCaml,Objective-c,Octave,Oforth,Oz,PHP,Pascal,Pdp-11assembly,Perl,Phix,Picolisp,Pike,Pop11,Powershell,Prolog,Purebasic,Python,Quackery,R,Racket,Raku,Raven,Rebol,Red,Rexx,Ring,Ruby,Runbasic,Rust,Scala,Scheme,Seed7,Setl,Sidef,Slate,Smalltalk,Sqlpl,Standardml,Stata,Tcl,Toka,Tuscript,Unixshell,Ursa,Ursala,Vbscript,Veditmacrolanguage,Visualbasic,Visualbasic.net,Wart,Wren,X86assembly,Yabasic,Zkl,Zxspectrumbasic"
